app_id,key_algorithm,key_size,version1,version2,version3,protected
com.hpe.icewall.smartotp,RSA,2048,true,false,false,False
com.securekiotp,RSA,2048,true,false,false,True
com.nhn.hangameotp,RSA,2048,true,true,false,False
de.sbeh.rdp_otp,RSA,4096,true,true,true,False
sg.worktable.pingoauth,RSA,2048,true,true,false,False
com.vivokey.vivoauth,RSA,4096,true,true,true,False
vn.unlimit.magicauth,RSA,4096,true,true,true,False
netinfo.eu.symantec,RSA,4096,true,true,true,False
com.rcdevs.auth,RSA,2048,true,true,true,False
kr.co.neople.neopleotp,RSA,1024,true,false,false,True
org.kamrul.android.myauth,RSA,4096,true,true,false,False
com.sophos.sophtoken,RSA,2048,true,false,false,False
net.aftnet.OTPManager,RSA,4096,true,true,false,True
com.systemat.SeeZam_OTP,RSA,1024,true,true,false,False
com.ADIBSDIGIPASS,RSA,4096,true,true,true,True
com.GlowOTP,RSA,2048,true,false,false,True
com.ncs.secureconnect.otp,RSA,2048,true,true,false,True
com.u2fa.secur,RSA,4096,true,true,true,False
com.vn.vib.smeotp,RSA,2048,true,true,false,False
com.bitrixsoft.otp,RSA,1024,true,false,false,False
com.kmcert.myotp,RSA,2048,true,true,false,False
de.otp.main,RSA,2048,true,false,false,False
eu.netinfo.cdb.otp,RSA,2048,true,false,false,True
me.jmh.authenticatorpro,RSA,4096,true,true,true,False
com.kienlongbank.etoken,RSA,4096,true,true,true,False
com.mobilians.motp,RSA,1024,true,true,false,False
com.FAISATOKEN,RSA,2048,true,false,false,True
com.dreammirae.otp.android.mirae,RSA,1024,true,false,false,True
com.protectimus.android,RSA,2048,true,true,false,False
hr.asseco.android.mtoken.ht.tes,RSA,2048,,,,True
ngn.com.vn.totp,RSA,4096,true,true,false,True
com.protectimus.totpburner.nfc,RSA,2048,true,false,false,True
com.sgn.secureguardotp,RSA,4096,true,true,false,False
it.aruba.pec.mobile.otp,RSA,2048,true,true,true,False
com.bankofamerica.authenticator,RSA,2048,true,true,true,True
com.lenovo.otp,RSA,2048,true,true,false,False
com.kiwoom.unitycer,RSA,1024,true,true,true,False
com.google.android.apps.authenticator2,RSA,2048,true,true,true,False
com.cibcorptoken,RSA,4096,true,true,true,True
com.arcot.otp1,RSA,1024,true,true,false,True
com.novoload.otp,RSA,4096,true,true,true,True
com.BANKABC,RSA,2048,true,false,false,True
ru.yandex.key,DSA,1024,true,true,false,False
eu.netinfo.bcb.otp,RSA,1024,true,true,false,False
it.aruba.pec.mobile.otpfvg,RSA,4096,true,true,true,False
vn.savis.smartid,RSA,4096,true,true,true,False
teakwang.tsis.motp,RSA,1024,true,true,false,False
com.viafirma.otp,RSA,1024,true,true,false,True
com.namirial.android.virtualotp,RSA,2048,true,true,false,False
com.yubico.yubiclip,RSA,2048,true,false,false,True
com.dxc.ipwr,RSA,4096,true,true,true,True
com.trumotp.club,RSA,4096,true,true,false,True
com.sgn.sgotp,RSA,2048,true,true,false,False
com.jeptoken,RSA,2048,true,true,true,False
at.tugraz.iaik.signapp,RSA,4096,true,true,true,True
sk.otp.viamo,RSA,2048,true,false,false,True
com.ocb.iotp,RSA,2048,true,false,true,False
com.goldtime.authy,RSA,4096,true,true,true,False
com.gemalto.idprove,RSA,1024,true,false,false,True
iSec.Authenticator,RSA,2048,true,false,false,True
io.faceotp.faceotp,RSA,4096,true,true,true,False
vietcombank.itcenter.vcbsmartoptv10,RSA,2048,true,false,true,False
com.vpbank.vpbanksmartotp,RSA,4096,true,true,true,False
two.factor.secure.otp.authentication,RSA,4096,true,true,true,False
com.mds.canarabankapp,RSA,2048,true,false,false,False
com.deepnet.andmob5,RSA,1024,true,true,false,False
com.BankMisrSoftToken,RSA,2048,true,false,false,True
com.isprint.SWIFTToken,RSA,1024,true,false,false,True
com.techcombank.stk.corp,RSA,4096,true,true,true,False
vn.com.bidv.softotp,RSA,4096,true,true,true,True
com.square_enix_software_token,RSA,1024,true,false,false,True
com.mollatech.android.apps.authenticators,RSA,2048,true,true,true,False
com.ca.sec.aa.authenticator,RSA,1024,true,true,false,False
com.andxor.mobile.jsotp.piteco,RSA,4096,true,false,false,False
hr.asseco.android.intesa.isbd.ale,DSA,1024,true,true,false,False
com.inwebo.authenticator,RSA,2048,true,true,false,False
vn.mk.token.baseotp,RSA,2048,true,true,false,False
ua.com.cs.ifobs.mobile.android.otp,RSA,2048,true,true,false,False
vn.funtap.smartotp,RSA,4096,true,true,true,False
eu.netinfo.netteller.cqur.motp,RSA,4096,true,true,true,False
cy.nbg.nbgcyotp,RSA,4096,true,true,true,False
com.egypt.ais.aismotp,RSA,2048,true,true,false,False
kr.or.kftc.fsc,RSA,2048,true,false,false,False
br.com.voegol.tokenagenciasgol,RSA,4096,true,true,true,True
com.dreammirae.anyauth.android,RSA,1024,true,false,false,False
no.SpareBank1.MobileOTP,RSA,1024,true,true,false,False
com.khla.otpapp.callhttpclien,RSA,4096,true,true,false,False
it.company.sielte,RSA,2048,true,false,false,False
tm.asmanoky.otp,RSA,4096,true,true,false,False
com.Sigma,RSA,2048,true,false,false,True
com.stove.otp.google.android,RSA,2048,true,true,false,False
com.bncr.detectid_otp,RSA,4096,true,true,true,False
com.lpb.softotp,RSA,4096,true,true,true,False
com.mts.opt2,RSA,4096,true,true,true,False
com.pacifico.pacificid,RSA,2048,true,true,false,False
com.vietinbank.softotp,RSA,2048,true,true,false,False
eu.sia.siaotp,RSA,4096,true,true,true,True
com.entrust.identityGuard.mobile,RSA,2048,true,true,false,False
com.nof.makanoh.openkeypos,RSA,2048,true,false,false,False
com.scrignosa,RSA,2048,true,true,false,False
com.CIBEgyptSecureToken,RSA,2048,true,false,false,True
vn.tpb.token.baseotp,RSA,2048,true,true,false,False
dev.cat.coffee.authenticator,RSA,4096,true,true,true,False
org.juanjcsr.newcloudotp,RSA,4096,true,true,false,False
com.aircuve.aircuvemobile,RSA,2048,true,true,false,True
com.qrail.token,RSA,2048,true,false,false,True
com.pozitron.qib,RSA,2048,true,true,true,False
ar.gob.afip.mobile.android.internal.seginfo,RSA,2048,true,true,false,False
com.eset.esa,RSA,4096,true,false,false,True
com.pvcombank.smartotp,RSA,2048,true,true,false,False
br.gov.caixa.codigocaixa,RSA,1024,true,false,false,True
com.aff.otpdirek,RSA,1024,true,true,false,False
it.previnet.authenticator,RSA,1024,true,true,false,False
com.canopus.otpmacgenerator,RSA,4096,true,true,false,False
jp.konami.android.otp_token,RSA,1024,true,true,false,True
com.changingtec.motp.pro,RSA,1024,true,false,false,False
com.atsolution.android.uotp2,RSA,1024,true,true,false,True
com.authy.authy,RSA,1024,true,true,false,False
club.nagavip.otp,RSA,4096,true,true,true,False
ro.len.mobile,RSA,1024,true,false,false,True
com.ideasventure.otptoken,RSA,1024,true,false,false,True
com.aircuve.motpkey_miraeasse,RSA,2048,true,true,false,True
com.hidglobal.ia.token.generic,RSA,2048,true,false,false,True
com.pentasecurity.isignplus.mobileotp,RSA,2048,true,true,false,False
vn.com.eximbank.softotp,RSA,2048,true,true,false,False
com.atsolution.android.bcotp,RSA,2048,true,true,false,True
no.buypass.mobile.bpcode.bp,RSA,2048,true,true,true,False
com.aircuve.airotp,RSA,1024,true,true,false,True
com.azure.authenticator,RSA,4096,true,false,false,False
jp.co.nttdata.onetimepassworda,RSA,1024,true,true,false,False
com.halcom.ng.mobile.puppaltr,RSA,1024,true,false,false,False
com.ftsafe.otp.activity,RSA,4096,true,true,true,False
com.cbcapp.otp.activity,RSA,4096,true,true,false,False
it.uiv.uivotp,RSA,4096,true,true,true,False
com.portwise.mid.clients.android,RSA,1024,true,true,false,False
com.sbi.SBIFreedomPlus,RSA,2048,true,false,false,False
com.ncb.bank.otp,RSA,4096,true,true,false,False
com.mdmobiasbancadigipass,RSA,4096,true,true,true,True
cy.com.netinfo.crdbotp,RSA,4096,true,true,true,False
com.canopus.otpmacgenerator.finductive,RSA,4096,true,true,true,False
com.sbi.SBISecure,RSA,2048,true,false,false,False
com.dreammirae.otp.android.mirae.multiid.marke,RSA,1024,true,false,false,False
otl.snkl.HDFCSnorkelOTP,RSA,1024,true,true,false,False
com.net2recharge.otp,RSA,4096,true,true,true,False
com.LuxTrustMobile,RSA,2048,true,true,true,False
com.sgn.sgotp.lotte,RSA,2048,true,false,false,True
tdb.otp,RSA,1024,true,false,false,False
com.sitin.sitinotp,RSA,4096,true,true,true,False
wibmo.com.wibmoAuthApp,RSA,4096,true,true,true,False
com.vtc.main.otpapp,RSA,1024,true,true,false,True
org.fedorahosted.freeotp,RSA,2048,true,false,false,True
net.secuwiz.prudentialotp,RSA,2048,true,true,false,True
it.netknights.piauthenticator,RSA,2048,true,true,false,False
com.forgerock.authenticator,RSA,1024,true,true,false,False
otl.snkl.SnorkelOTP,RSA,1024,true,true,false,False
eu.sebbe.www.qrsa,RSA,2048,true,false,false,True
oracle.idm.mobile.authenticator,RSA,2048,true,false,false,False
com.ezmcom.cimb.softtoken.ezidv4,RSA,2048,true,false,false,True
com18deglab.cylocklite,RSA,2048,true,true,false,True
org.arcon.arcos.otp1,RSA,2048,true,false,false,True
org.shadowice.flocke.andotp,RSA,4096,true,true,true,False
com.ws.a.otp,RSA,4096,true,true,false,False
com.authenticator.authservice2,RSA,2048,true,true,false,False
com.beemdevelopment.aegis,RSA,2048,true,true,false,False
net.marinits.android.droidotp,RSA,1024,true,false,false,False
org.cry.otp,DSA,1024,true,true,true,False
com.egypt.ais.masriacard.mcmotp,RSA,4096,true,true,true,False
com.feelanet.artstrongid.sec,RSA,2048,true,true,false,False
nh.smart.signone,RSA,1024,true,true,false,True
token.security.m2m.com.generateotp,RSA,2048,true,true,false,False
com.yubico.yubioath,RSA,2048,true,false,false,False
com.gstotpauthenticator,RSA,4096,true,true,true,False
org.liberty.android.freeotpplus,RSA,1024,true,false,false,False
hr.asseco.android.otp,DSA,1024,true,true,false,True
org.arcon.pam.otp,RSA,2048,true,true,false,True
com.zenithbank.zenithetoken,RSA,2048,true,true,true,False
vn.com.sacombank.msign,RSA,4096,true,true,true,False
com.mastersam.android.mastersamotp,RSA,2048,true,true,false,True
br.com.powersoftware.otpsafe,RSA,4096,true,true,true,False
hr.asseco.android.jimba.otpretailng,DSA,1024,true,true,false,False
kr.kjun.NaverSetup,RSA,2048,true,false,false,True
com.netfiles.netfilesotp,RSA,1024,true,false,false,True
