file_name,classes,component
com.nof.makanoh.openkeypos.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.DEVICE check']"
com.authy.authy.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible VM check']"
com.authy.authy.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.authy.authy.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']"
vn.unlimit.magicauth.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
vn.unlimit.magicauth.apk,anti_vm,['Build.FINGERPRINT check']
no.buypass.mobile.bpcode.bp.apk,anti_debug,['Debug.isDebuggerConnected() check']
no.buypass.mobile.bpcode.bp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check']"
com.cbcapp.otp.activity.apk,anti_vm,['subscriber ID check']
com.mastersam.android.mastersamotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check']"
com.mastersam.android.mastersamotp.apk,manipulator,['dexmerge']
com.egypt.ais.masriacard.mcmotp.apk,anti_vm,"['Build.HARDWARE check', 'Build.TAGS check']"
com.dreammirae.otp.android.mirae.multiid.market.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.dreammirae.otp.android.mirae.multiid.market.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'Build.TAGS check']"
token.security.m2m.com.generateotp.apk,manipulator,['dexmerge']
com.deepnet.andmob5.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
hr.asseco.android.jimba.otpretailng.apk,anti_debug,['Debug.isDebuggerConnected() check']
hr.asseco.android.jimba.otpretailng.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check']"
com.inwebo.authenticator.apk,anti_vm,['Build.MANUFACTURER check']
netinfo.eu.symantec.apk,anti_debug,['Debug.isDebuggerConnected() check']
netinfo.eu.symantec.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'ro.hardware check', 'ro.kernel.qemu check', 'possible ro.secure check', 'possible VM check']"
br.com.powersoftware.otpsafe.apk,anti_debug,['Debug.isDebuggerConnected() check']
br.com.powersoftware.otpsafe.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check']"
com.canopus.otpmacgenerator.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check']"
com.canopus.otpmacgenerator.apk,manipulator,['dexmerge']
it.aruba.pec.mobile.otpfvg.apk,anti_debug,['Debug.isDebuggerConnected() check']
it.aruba.pec.mobile.otpfvg.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
com.feelanet.artstrongid.sec.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.feelanet.artstrongid.sec.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible VM check']"
com.aircuve.aircuvemobile.apk,anti_disassembly,['illegal class name']
com.aircuve.aircuvemobile.apk,anti_vm,"['possible Build.SERIAL check', 'Build.TAGS check', 'possible ro.secure check']"
com.aircuve.aircuvemobile.apk,obfuscator,['DexGuard']
com.nhn.hangameotp.apk,packer,['AppGuard (TOAST-NHNent)']
com.nhn.hangameotp.apk,anti_vm,"['Build.MANUFACTURER check', 'SIM operator check', 'network operator name check']"
it.aruba.pec.mobile.otp.apk,anti_debug,['Debug.isDebuggerConnected() check']
it.aruba.pec.mobile.otp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
com.bankofamerica.authenticator.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.novoload.otp.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.novoload.otp.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check']"
io.faceotp.faceotp.apk,anti_debug,['Debug.isDebuggerConnected() check']
io.faceotp.faceotp.apk,anti_vm,['possible Build.SERIAL check']
io.faceotp.faceotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
com.namirial.android.virtualotp.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.namirial.android.virtualotp.apk,anti_disassembly,['illegal class name']
com.namirial.android.virtualotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible VM check']"
com.namirial.android.virtualotp.apk,obfuscator,['DexGuard']
com.bncr.detectid_otp.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.bncr.detectid_otp.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']"
com.bncr.detectid_otp.apk,anti_vm,['Build.MODEL check']
it.previnet.authenticator.apk,anti_debug,['Debug.isDebuggerConnected() check']
it.previnet.authenticator.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
com.rcdevs.auth.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible VM check']"
com.sgn.sgotp.apk,anti_vm,"['Build.MANUFACTURER check', 'network interface name check']"
com.sgn.sgotp.apk,manipulator,['dexmerge']
kr.co.neople.neopleotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.BRAND check', 'Build.DEVICE check', 'Build.PRODUCT check', 'network operator name check', 'possible VM check']"
kr.co.neople.neopleotp.apk,anti_debug,['Debug.isDebuggerConnected() check']
kr.co.neople.neopleotp.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
eu.netinfo.netteller.cqur.motp.apk,anti_debug,['Debug.isDebuggerConnected() check']
eu.netinfo.netteller.cqur.motp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible ro.secure check']"
club.nagavip.otp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'possible VM check']"
ngn.com.vn.totp.apk,manipulator,['dexmerge']
com.halcom.ng.mobile.puppaltr.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.halcom.ng.mobile.puppaltr.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check']"
com.halcom.ng.mobile.puppaltr.apk,obfuscator,['DexGuard']
com.halcom.ng.mobile.puppaltr.apk,anti_vm,['Build.FINGERPRINT check']
org.arcon.arcos.otp1.apk,manipulator,['dexmerge']
ru.yandex.key.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check']"
com.vietinbank.softotp.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.vietinbank.softotp.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible ro.secure check']"
otl.snkl.SnorkelOTP.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check']"
cy.com.netinfo.crdbotp.apk,anti_vm,['Build.MANUFACTURER check']
hr.asseco.android.otp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'network operator name check']"
com.GlowOTP.apk,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check']"
com.aff.otpdirekt.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'possible VM check']"
com.aff.otpdirekt.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'possible ro.secure check', 'possible VM check']"
com.zenithbank.zenithetoken.apk,anti_vm,['Build.FINGERPRINT check']
com.CIBEgyptSecureToken.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.goldtime.authy.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible Build.SERIAL check']"
vn.tpb.token.baseotp.apk,anti_debug,['Debug.isDebuggerConnected() check']
vn.tpb.token.baseotp.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible ro.secure check']"
com.BankMisrSoftToken.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
com.protectimus.totpburner.nfc.apk,anti_vm,['Build.MANUFACTURER check']
com.protectimus.totpburner.nfc.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'network operator name check']"
com.sgn.sgotp.lotte.apk,manipulator,['dexmerge']
oracle.idm.mobile.authenticator.apk,anti_vm,['network operator name check']
com.dreammirae.anyauth.android.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.dreammirae.anyauth.android.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible ro.secure check']"
dev.cat.coffee.authenticator.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible Build.SERIAL check']"
dev.cat.coffee.authenticator.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check']"
com.google.android.apps.authenticator2.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.LuxTrustMobile.apk,obfuscator,['Obfuscator-LLVM version 3.5']
com.LuxTrustMobile.apk,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check', 'possible VM check']"
com.LuxTrustMobile.apk,obfuscator,"['unreadable field names', 'unreadable method names']"
com.LuxTrustMobile.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.LuxTrustMobile.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
sg.worktable.pingoauth.apk,anti_debug,['Debug.isDebuggerConnected() check']
sg.worktable.pingoauth.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
vn.com.sacombank.msign.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.TAGS check']"
com.kiwoom.unitycert.apk,packer,['AppSuit']
com.kiwoom.unitycert.apk,anti_vm,['possible VM check']
com.kiwoom.unitycert.apk,obfuscator,"['AppSuit', 'unreadable field names', 'unreadable method names']"
com.kiwoom.unitycert.apk,anti_vm,['emulator file check']
com.techcombank.stk.corp.apk,obfuscator,['Gemalto']
com.techcombank.stk.corp.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.techcombank.stk.corp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'subscriber ID check']"
com.techcombank.stk.corp.apk,obfuscator,"['unreadable field names', 'unreadable method names']"
eu.netinfo.cdb.otp.apk,anti_vm,['Build.MANUFACTURER check']
com.bitrixsoft.otp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check']"
com.bitrixsoft.otp.apk,manipulator,['dexmerge']
org.juanjcsr.newcloudotp.apk,anti_vm,"['Build.FINGERPRINT check', 'possible Build.SERIAL check']"
com.square_enix_software_token.apk,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check']"
com.trumotp.club.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'network operator name check', 'possible VM check']"
com.trumotp.club.apk,manipulator,['dexmerge']
com.gemalto.idprove.apk,anti_vm,"['possible Build.SERIAL check', 'Build.TAGS check', 'subscriber ID check']"
com.ncb.bank.otp.apk,anti_vm,"['Build.MANUFACTURER check', 'Build.TAGS check', 'possible ro.secure check']"
org.cry.otp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
me.jmh.authenticatorpro.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.HARDWARE check', 'possible VM check']"
wibmo.com.wibmoAuthApp.apk,anti_debug,['Debug.isDebuggerConnected() check']
wibmo.com.wibmoAuthApp.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'possible ro.secure check', 'possible VM check']"
vn.com.bidv.softotp.apk,anti_debug,['Debug.isDebuggerConnected() check']
vn.com.bidv.softotp.apk,anti_disassembly,['illegal class name']
vn.com.bidv.softotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']"
vn.com.bidv.softotp.apk,obfuscator,['DexGuard']
it.company.sielte.apk,anti_vm,"['Build.MANUFACTURER check', 'Build.HARDWARE check', 'possible VM check']"
com.u2fa.secur.apk,anti_vm,['Build.MANUFACTURER check']
eu.sia.siaotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check']"
nh.smart.signone.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check', 'SIM operator check', 'network operator name check', 'subscriber ID check']"
nh.smart.signone.apk,obfuscator,['unreadable field names']
nh.smart.signone.apk,anti_debug,['Debug.isDebuggerConnected() check']
nh.smart.signone.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'device ID check', 'subscriber ID check', 'possible VM check']"
nh.smart.signone.apk,obfuscator,"['unreadable field names', 'unreadable method names']"
com.isprint.SWIFTToken.apk,anti_vm,['emulator file check']
com.vn.vib.smeotp.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.vn.vib.smeotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
org.fedorahosted.freeotp.apk,manipulator,['dexmerge']
